0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.0305805,12.8676674,18.6405014,23.5777525,9.9345789,5.5592369,6.8840751,12.6278705,,21.1944769,20.9701848,5.0684593,26.1210205,29.3258831,12.8873532,13.6445005,23.7982389,8.5117585,33.2645323,33.8171664
27.0135394,27.0159268,49.8685564,49.7935785,33.4480781,15.4090968,12.1835668,20.0966308,,35.7128888,35.704422,36.2976553,37.8890873,37.908348,24.4020938,24.1435945,37.2147782,23.1592424,82.159744,52.7175916
43.0617735,43.3130182,59.6700411,54.6766633,50.3979079,38.773963,19.2815355,33.5779076,,63.711445,87.2004302,61.2990343,52.4887933,52.3075268,31.6848258,32.5746966,74.6280188,36.7221674,,82.3177655
56.9431416,57.2820303,64.2347156,77.0259595,,50.3390205,79.8452378,55.0910885,,76.5265019,103.3992136,101.3275198,86.1848808,85.6699083,46.1511236,70.7397967,,48.4244241,,
71.1560354,71.6636906,84.0337352,84.006622,,,123.7748554,80.0756959,,134.7730551,,,,,60.5832338,118.2528938,,61.4755843,,
85.0218632,85.3447197,,,,,,124.0210136,,,,,,,71.2479866,,,74.7221597,,
99.4063697,,,,,,,,,,,,,,98.2298801,,,,,
