x1,x2,x3,x4,x5
0.004979337,0.24930978,1.155093425,0.003141739,1133.323009
-0.109316,0.23266067,1.976134053,0.012065928,462.6026744
0.4646138,1.5318449,3.332951558,0.024055136,3471.707982
1.3691133,4.3222356,3.946551145,0.026321467,4162.754867
1.2917736,7.94266,5.955126844,0.075438216,5739.374225
0.61292374,5.065441,4.032363518,0.027202993,4350.044591
6.457988,7.6503882,0.64836085,0.033837954,4838.400394
6.637358,7.4466724,3.038075582,0.02707605,4511.058846
8.457482,10.522933,3.357811618,0.039059598,5355.868529
10.424818,7.9812193,4.947742704,0.025658743,4825.765889
8.233321,5.688689,5.697491425,0.021537962,4666.104868
7.178366,7.256163,6.956162758,0.028673098,4673.29066
3.8011506,10.498582,8.041897791,0.045705052,5458.496929
3.6957328,11.374432,8.85649251,0.053833458,5704.926141
2.1773615,6.0259013,10.7432713,0.034853483,4747.766696
4.9026437,5.5491104,8.965357005,0.020689849,4363.543585
8.398777,12.859633,-0.205081669,0.04680252,5541.774183
16.896809,11.748932,3.346044368,0.034600639,5404.088419
22.2671,14.584567,2.718610335,0.042008512,5646.82423
16.203579,14.001339,5.286026765,0.035185892,5387.182429
10.546395,7.9507465,4.877263144,0.026394929,4717.211829
2.810716,5.7228928,7.805069204,0.024745542,4240.387498
9.3507595,8.63436,1.735397178,0.030103835,4899.073305
0.97499025,8.250877,1.801825468,0.040646245,4828.169125
11.152178,9.11913,2.881618337,0.026134504,4910.923303
2.689056,10.437961,4.259702974,0.043935339,5320.652374
12.583853,11.829635,4.863923819,0.044808729,5440.235126
16.102325,13.888008,6.615864765,0.034963177,5334.353959
29.119257,13.976348,6.730977574,0.040590327,5379.795021
17.073292,12.420332,9.463513834,0.037887137,5102.940449
11.993871,11.86755,5.312837346,0.03523036,5167.925953
17.761051,9.954214,0.21531154,0.021260994,4822.533363
8.017563,7.6961956,3.624514606,0.030384542,4684.989155
7.904052,6.178121,1.113099153,0.021136984,4364.441933
3.0053697,9.372984,1.849497384,0.039869522,5036.357355
9.07361,12.05594,2.823244031,0.039182342,5257.475564
8.037635,9.851069,1.325990324,0.03807896,4916.119905
10.052609,10.097336,1.790484651,0.030453542,4834.671605
26.549149,14.117224,3.389959194,0.041688363,5666.271494
10.707375,10.075672,3.945626435,0.032994346,5081.771272
1.911501,7.581247,5.60771962,0.034134698,5004.021218
4.207744,6.3872843,6.013552907,0.027840807,4502.553395
0.77052164,6.4425063,7.940641876,0.034421827,4792.382199
4.0184608,4.513571,7.858751689,0.0223141,4300.526578
4.9635234,2.9191618,10.91355614,0.012902091,4143.706892
2.7132282,4.1257696,3.441105248,0.02177413,4295.546357
1.2069725,3.087944,0.975981488,0.019881088,4296.78572
3.615335,1.9210999,3.271325096,0.008473536,3651.406331
0.19711007,1.7250407,3.780887764,0.016075784,3819.737053
1.0954133,2.395492,5.039064813,0.01786066,4186.122315
-0.49269634,1.0596972,6.402167354,0.017211297,3383.112821
0.8865295,1.2374147,5.94575505,0.013222534,3281.542019
-0.7061617,1.4088136,0.438711265,0.027120368,3583.000272
0.7788155,1.068381,2.811818136,0.018723208,2984.363277
-0.55626583,0.78753924,3.213966783,0.01218778,3171.769385
2.4662461,2.8576577,4.582468781,0.015682902,3958.435055
7.9614987,5.8277392,5.972784986,0.023459835,4599.508601
17.953173,7.494687,2.804696978,0.024067123,5005.337897
11.994015,12.239733,0.883969517,0.040996014,5321.105509
9.555796,10.851676,3.501664286,0.034420155,4899.902878
14.7525015,14.024874,3.459263004,0.041991223,5485.221017
8.431759,10.078454,5.292229197,0.031765628,5037.257216
5.704945,7.2949367,0.397816582,0.031852298,4502.532251
7.0058365,10.561244,2.862126443,0.039665833,5020.086727
7.5944657,9.328517,2.559204229,0.03455806,5115.381494
6.163057,8.1112995,5.322084652,0.024545899,4669.128141
2.6020088,7.135402,2.916793205,0.03771015,4763.080081
1.3333504,6.571372,1.157408417,0.037268844,4889.725543
1.5406276,4.050439,2.712991017,0.02228542,4113.69474
1.7613671,3.5110974,3.638086858,0.017220029,3792.643195
1.9749284,4.414073,4.967448215,0.024092002,4121.508121
1.7044934,4.894636,1.865779348,0.024934756,4210.154016
1.6029321,4.4011307,1.353046723,0.023071787,4203.633429
3.1885033,5.8432984,3.5512098,0.024801931,4423.097626
4.3366895,6.4919643,3.555941091,0.028582466,4566.441285
2.0373116,5.154939,5.811712186,0.024607227,4395.319963
2.066666,4.511145,5.480928763,0.0264679,4197.849013
1.7210519,5.570099,8.572920227,0.029645745,4525.954742
1.9025377,7.2068877,4.727110425,0.045050382,4984.826595
2.111206,6.8264666,0.725993798,0.037457408,4843.011853
4.078019,4.927777,2.885335342,0.021411632,4342.535437
1.0464989,4.2575355,3.6120552,0.024001314,4291.412824
2.6952477,4.716516,4.680453922,0.022903936,4362.832006
3.3050673,5.650058,6.155690848,0.023395758,4404.456398
2.2956464,4.350199,1.407636275,0.024018184,4288.510068
2.5128312,4.970783,1.916720895,0.021386762,4247.664587
4.050685,5.5789022,3.058238953,0.024058189,4551.51677
3.8776865,6.704838,4.308466656,0.025602963,4700.731495
10.011051,6.836449,5.03210089,0.024141519,4917.749008
13.570845,9.666461,6.700292109,0.029456495,5105.975692
10.192492,9.327094,6.841984525,0.028913316,4802.793625
7.6334524,7.5227113,9.660202497,0.023159829,4675.381937
0.9525301,5.450381,4.261000476,0.028592718,4322.853148
3.9025552,5.583182,0.610253496,0.026117419,4296.399243
2.4138358,6.542737,3.331530288,0.028445559,4651.115541
2.0541003,4.819549,3.472652237,0.028117588,4240.938963
1.4091989,5.6992455,5.148466877,0.029907403,4498.0596
2.744174,5.447208,5.896675935,0.028127503,4398.869121
1.2000947,2.7196789,7.031174604,0.015767182,3742.294596
1.2481313,3.167427,8.547792813,0.020505079,3789.914781
0.37572625,2.6283066,7.415700366,0.020287207,3635.168315
2.0828595,2.1634965,-0.085444038,0.011813107,3357.885695
1.9587008,1.6321955,3.379231544,0.010194061,3209.586113
2.0827346,2.2945566,2.602943744,0.010541877,3630.751848
0.5771796,1.7450912,5.690041075,0.01425391,3501.702121
0.7480994,2.2067547,1.898020759,0.016437075,3752.705189
0.12035835,1.4697533,1.618781679,0.015201672,3391.919252
0.44507888,1.0048014,2.739113494,0.010518426,2822.510814
-0.18624331,0.70862925,4.104913867,0.013828272,2669.465535
0.28279027,0.6966802,4.644822477,0.010210304,2712.649977
-0.20778632,1.2083232,1.246696444,0.023200861,3308.95568
0.25297314,1.5724076,1.931396824,0.032638803,3543.945548
-0.25377387,1.1910717,3.519711758,0.029757626,3173.868028
0.32622495,0.81830084,3.975804533,0.025372755,2904.208946
-0.037080843,1.7095786,5.852990193,0.013372677,3344.390441
5.6036525,4.8512683,5.850884958,0.020908463,4615.047729
7.584397,9.5056095,8.707988723,0.035770572,5422.571669
3.297019,9.946636,3.261488056,0.05486654,5550.993421
8.562412,7.843543,1.028629438,0.027451381,5057.234441
5.6974173,9.319343,3.128704591,0.036804225,4882.719057
6.489939,12.448848,3.782616589,0.047311918,5431.528973
8.660618,10.934057,4.941070729,0.035837664,5264.848916
4.622055,7.786379,6.331456413,0.031085472,4724.99884
5.1331162,5.557612,6.145758233,0.020909378,4326.086688
5.285972,5.480125,0.646695408,0.021632212,4325.838854
5.88499,5.6362176,2.497789287,0.020307,4231.547176
2.445438,4.1595244,3.54721088,0.017876648,4086.164159
3.6156723,4.7257466,2.870046251,0.021683233,4133.150203
4.6349387,6.024921,0.775590561,0.022933943,4651.83367
2.218737,4.04827,3.1644788,0.020388809,4066.802716
3.494305,3.576204,3.313900802,0.012418765,3759.88946
2.0962417,5.05774,5.150908899,0.024236582,4343.394666
1.95458,4.009658,5.607519601,0.019234886,4035.876058
1.9593923,5.6408944,7.127037087,0.028979168,4408.143047
2.833328,7.1155586,0.828291071,0.031390166,4715.800101
2.7075791,7.2217083,2.20812941,0.034073836,4814.090479
2.8156703,5.300638,0.68873311,0.025218012,4431.01667
2.759346,5.3605876,2.776043631,0.025665704,4483.491527
3.477922,5.426071,2.897921138,0.025585611,4413.448475
5.0413995,5.1702065,5.014524242,0.020072591,4428.941859
2.3847673,5.062802,4.861451189,0.025312457,4433.901453
2.313695,4.183753,7.735699465,0.021951346,4188.095845
4.933714,5.0543427,2.389127458,0.023188633,4464.522134
2.2457907,3.5826807,1.502942915,0.018245316,4000.397557
2.6483648,4.316345,1.317493081,0.019142285,4106.494694
3.5594387,5.645236,0.902816049,0.023162694,4522.807823
1.6508015,5.6060085,1.020607764,0.029524045,4643.702373
2.1682158,5.3248653,2.233410512,0.02605256,4357.415062
2.985085,6.1293964,3.025015115,0.029405224,4565.016553
2.6380055,6.6976686,4.580158938,0.030803451,4800.201735
9.577323,8.891016,4.912893765,0.031740946,5034.777941
9.36394,8.882383,7.351934299,0.025556354,4642.959634
3.1363726,5.0402822,3.761143161,0.023953949,4232.818393
2.3298144,3.6558998,0.742381878,0.016179568,3824.814275
3.0670033,4.490454,3.18506522,0.020617173,4145.827176
2.6003993,3.306244,3.473740043,0.013640822,3699.683326
3.02662,4.8065104,5.079748138,0.025690723,4387.610595
1.8703549,4.0825243,5.849314897,0.019941292,4093.153913
2.2812328,6.4682374,6.851261742,0.038269992,4973.189459
1.0043956,5.7616925,0.6106106,0.040967913,4855.589246
1.9628582,2.1247826,2.682083048,0.008056041,3646.871407
0.8239688,3.6094692,2.308818093,0.02479711,3975.867227
0.67194533,2.4289463,1.103383251,0.020924871,3727.276535
0.90396565,2.7044783,2.574527159,0.016750537,3717.623182
0.95671576,1.8003497,3.420462909,0.011453776,3579.247345
1.2509753,2.6311636,4.751578824,0.014743515,3909.53936
0.877105,2.3304896,5.466698129,0.018537143,3779.602075
1.5565883,2.8807385,7.291129757,0.016310161,3889.802755
1.520964,2.062858,1.927931543,0.013782883,3763.926828
1.4742956,2.1667988,1.537377289,0.011036763,3651.857898
0.48106998,1.6979053,3.238068119,0.014009192,3656.180576
0.9657396,1.2322583,4.071147721,0.006100832,3114.526486
0.11283614,1.5666717,4.623033344,0.02039229,3614.73833
0.2859092,1.8710718,0.345299656,0.025379999,3704.031922
-0.083336405,0.14678125,3.207696826,0.007720852,2234.332958
0.1519723,0.6571181,1.698197316,0.010950493,2196.095955
-0.09040344,0.13396986,1.628445539,0.007335998,2209.354051
0.14007322,0.6459515,1.403479998,0.017475682,2226.499621
-0.12673181,0.02411266,1.454290521,0.008194218,1946.301264
0.15565386,0.52911764,2.989791489,0.023588994,2109.049719
-0.15124042,0.44549498,1.414567464,0.034040347,2664.656721
1.1777521,4.0293503,1.60956848,0.027578798,4489.784778
2.1425507,2.6917493,3.321241684,0.015769177,3966.260664
1.5016152,5.918441,3.75596575,0.032527883,4789.402611
0.60587406,6.4890594,5.601367614,0.048245705,4864.879879
2.179635,8.633671,5.677802511,0.049215018,5281.224106
2.2245302,5.683923,8.352182798,0.027827749,4614.531782
2.673035,5.9315305,4.994671314,0.027547128,4849.657908
6.5945067,5.9970465,0.492926041,0.028099899,4933.009138
5.943997,10.221767,3.121667786,0.039598463,5381.127924
4.141814,8.9260645,3.328005786,0.036280326,4784.994667
8.306113,9.609855,5.012748794,0.036454063,5089.487833
9.354038,9.393657,5.633421213,0.031925365,4905.305229
4.462907,6.151615,7.121923609,0.026454727,4542.329578
7.1609116,8.809715,7.658409955,0.031105853,4962.149811
8.562855,9.564678,0.853125743,0.036571441,5110.232878
9.393387,11.373819,1.246798442,0.039768722,5439.423312
5.966236,8.69859,2.066149157,0.043324176,5178.512911
1.3826098,5.3268743,3.753077162,0.027609796,4397.57451
1.2183108,5.216216,2.783043294,0.036596948,4546.395783
1.409168,4.4787793,1.055476038,0.024448475,4283.758368
2.0303352,5.701904,1.930823428,0.031585942,4760.098957
0.7432191,5.993781,0.457709407,0.037149415,4574.367931
3.5848336,7.927849,2.022061025,0.041191939,5188.680013
8.647161,11.204921,2.592498539,0.045122274,5644.132695
10.029851,10.124191,4.101945396,0.034273213,5128.197707
3.608434,8.617671,4.89297912,0.040978114,5120.319322
2.7705941,7.107744,5.835756348,0.036177579,4822.42234
3.4760504,6.8481126,0.479373545,0.03146388,4683.127617
3.680453,4.8092957,2.80849876,0.020617165,4285.019423
0.49109554,5.066258,2.709008093,0.034329323,4486.024112
3.1723201,5.840774,5.278612329,0.029215931,4742.220906
5.6588464,7.7073293,2.834297102,0.029285895,4806.824809
2.7889225,7.0203133,1.112620591,0.034594666,4698.396119
2.145398,5.00023,2.845298632,0.025376481,4204.390016
4.4167285,9.064568,3.614615684,0.044702047,5565.035907
5.2433543,7.8322206,5.030018912,0.034334228,5052.005327
1.0747355,5.419641,1.623723729,0.03177055,4500.721348
2.116105,5.552079,1.549062596,0.033220299,4458.099703
0.37211984,6.09831,3.496818704,0.039409766,4794.838929
2.1881964,3.967953,3.632857487,0.022391919,4105.351604
1.6532643,2.9037156,6.004045886,0.020757143,4062.185307
1.6023327,3.289787,4.275359439,0.019869479,4322.240936
1.5532746,2.0712652,0.853084419,0.01255674,4031.751912
0.85441655,1.6450323,2.631876162,0.010509548,3618.135686
0.3021591,2.196231,3.594559746,0.030079627,4273.919446
0.03505964,1.6299983,4.440145558,0.028995618,3256.281578
-0.031735577,0.47692326,6.274577887,0.013426863,2827.080344
0.122067325,1.3909234,1.949263348,0.022330333,3154.968164
-0.07745071,0.15307756,1.523849019,0.012655108,2394.825444
0.07012071,0.8880162,3.136459892,0.022767144,2324.812995
