0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.3628106,12.6789615,5.6920988,10.4087168,9.4273774,9.4087356,7.4715887,6.6137845,21.3089218,31.8735999,9.4134658,4.6669381,11.0419188,26.4218356,12.5911823,23.8700645,19.4790733,20.3076079,26.1552683,27.2526832
27.461046,27.343146,10.3764221,18.391708,18.2927595,33.2056574,12.254021,12.3802784,32.7748357,63.370842,14.8129523,9.4827937,26.3906957,51.819898,23.7732858,46.0179384,36.4267073,36.6221122,33.1712256,33.2850025
44.309612,43.9918886,18.4414788,23.8248279,33.1589725,40.3051186,19.0537689,20.8305048,38.3251561,75.1198904,19.7964135,19.6160507,39.4727585,57.7028654,45.5725909,58.0502359,47.9416405,47.9878159,42.503819,43.4175837
57.1755581,57.1748839,23.4074102,31.9734182,40.2907979,49.9712034,27.803067,27.7123382,63.5888935,99.6850034,31.0285033,32.5311746,51.9218442,61.8021528,70.6200065,70.5326607,63.057118,63.0373408,55.0532529,52.7003086
71.7076603,71.6066554,27.9238987,43.6730624,49.9915558,63.0199603,33.8693904,33.5949108,75.8880509,103.2510877,43.6108331,43.1305334,57.7549896,71.4859825,85.1198475,87.7316428,74.1228391,73.7191292,78.2009408,75.0649533
86.1240636,86.1047541,44.1232784,49.6056301,59.4567168,,48.7679332,48.8448559,103.0689577,115.9850867,53.9773842,52.179573,61.9881895,85.816867,103.1003097,102.5633905,,,81.3507415,79.1483767
99.5386948,99.6376418,48.655391,58.6050747,63.3725848,,55.1014594,55.0765582,131.1835107,135.5819349,60.5592353,60.3791204,71.4876041,,110.3000748,116.895421,,,87.783608,82.9812132
,,59.0883836,67.9713099,,,63.4169948,63.0426225,,,65.4923557,65.4454617,76.703067,,116.7157043,,,,,87.8822707
,,76.9362569,76.3366395,,,71.5833016,69.8421033,,,81.790975,75.4442202,85.8189327,,,,,,,
,,83.6696613,83.3363073,,,102.6324222,78.8246038,,,84.4410654,81.9271407,,,,,,,,
,,,,,,111.2637835,89.0409906,,,90.6748772,94.5264088,,,,,,,,
,,,,,,123.6954454,105.8057884,,,95.0398906,101.1922045,,,,,,,,
,,,,,,129.2453687,111.0561918,,,,,,,,,,,,
,,,,,,132.8781262,123.8211085,,,,,,,,,,,,
,,,,,,140.377327,129.2208469,,,,,,,,,,,,
,,,,,,,131.503821,,,,,,,,,,,,
,,,,,,,136.7201157,,,,,,,,,,,,
,,,,,,,139.1039755,,,,,,,,,,,,
,,,,,,,143.0527399,,,,,,,,,,,,
