0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.5424158,12.9156005,10.4267338,5.70877,5.4000241,5.3849387,6.4870982,3.6118854,24.0825711,,3.7599072,4.740765,27.7421873,27.3785975,11.3348346,13.5338587,23.802296,3.2686473,10.6847659,11.4283856
27.1256426,27.1822849,18.7080023,10.3721939,10.5105539,9.8336811,12.1047209,6.6141846,37.9165097,,9.8093911,10.240296,52.1740279,34.3124976,23.4011926,23.3993627,27.5347136,13.8161404,34.1504154,21.8430436
43.7242967,43.7632001,23.3384356,12.7077446,15.0768541,14.9332803,17.6045848,11.9307656,64.512906,,19.3408839,14.3904351,56.8898058,39.5961799,36.1827251,31.2000428,36.9005468,22.9823304,52.5502888,33.0935298
56.7892656,56.8624831,28.4072574,15.1231855,24.8923277,24.8827837,22.7699078,17.4965804,74.381971,,24.5420942,19.3786778,63.1072713,45.4631597,41.4165479,35.8011109,48.8006796,36.9805077,73.8811025,43.0590245
71.4045649,71.2592379,44.5202439,19.5227273,38.8939458,33.3646617,27.7042741,22.8804752,84.7137235,,29.7449608,24.6407933,66.6726219,52.0778813,48.0981596,41.6141819,62.1818864,48.2335809,83.6629506,52.1557475
85.4875415,85.6429439,48.6546673,23.3231866,40.4259245,35.5633365,33.5865326,27.5287568,88.3455288,,36.3568766,29.8063784,71.5222751,56.8772429,53.8133421,47.982919,75.2817433,61.1294363,,66.6240954
99.2864815,99.2755457,59.0204711,27.9539834,43.9928536,38.347189,41.7168385,33.5952498,103.3306866,,43.3413155,34.791952,76.3060191,61.8259828,59.9147835,53.5808874,,75.261352,,82.1553307
,,76.586772,44.5388101,46.4914852,40.5147873,44.8494846,38.6802945,133.1103274,,54.0056478,43.2734433,81.2386714,66.6600569,66.6802923,59.7474734,,,,
,,83.8187056,49.3208888,51.1101278,46.2468095,48.3856341,41.6807226,135.8255344,,60.6050909,60.3057616,,71.5095514,72.7632225,66.6783407,,,,
,,,52.0380776,55.8417839,51.1144558,49.8505685,44.8283476,,,66.3048616,82.2021867,,76.2938245,85.2124032,73.0459677,,,,
,,,58.9877887,60.5914837,55.7953299,55.1504961,48.3436644,,,82.6191492,94.5536049,,81.1942855,91.7956362,85.1779601,,,,
,,,72.3855657,65.9095782,60.6428294,70.3494441,51.1437784,,,86.9873328,,,85.5574935,96.7614137,91.2108574,,,,
,,,81.9518732,70.7083642,64.1943763,75.3166211,55.2095839,,,94.6336843,,,,102.7117215,96.560404,,,,
,,,,,,79.3823883,61.208428,,,,,,,109.8115676,107.0586828,,,,
,,,,,,83.4313571,71.642713,,,,,,,,109.8578788,,,,
,,,,,,89.014561,75.3094009,,,,,,,,,,,,
,,,,,,98.8998126,79.4422744,,,,,,,,,,,,
,,,,,,101.8800037,83.4089953,,,,,,,,,,,,
,,,,,,103.4644714,87.2081976,,,,,,,,,,,,
,,,,,,107.8145771,89.2575329,,,,,,,,,,,,
,,,,,,110.7796022,92.3737021,,,,,,,,,,,,
,,,,,,113.9301415,96.1221168,,,,,,,,,,,,
,,,,,,116.8797991,98.8732208,,,,,,,,,,,,
,,,,,,119.7634738,101.8055151,,,,,,,,,,,,
,,,,,,123.0772568,107.821077,,,,,,,,,,,,
,,,,,,127.3613186,110.7903899,,,,,,,,,,,,
,,,,,,132.2953811,113.9872667,,,,,,,,,,,,
,,,,,,133.927821,116.9233604,,,,,,,,,,,,
,,,,,,138.4105072,119.7708167,,,,,,,,,,,,
,,,,,,,123.489511,,,,,,,,,,,,
,,,,,,,127.3393502,,,,,,,,,,,,
,,,,,,,132.1038963,,,,,,,,,,,,
,,,,,,,136.5859593,,,,,,,,,,,,
,,,,,,,143.9383965,,,,,,,,,,,,
