0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.7056443,13.2466655,10.40574,10.4165306,5.6438215,6.4291366,3.8370011,3.7320363,2.3070894,,4.896373,4.4977878,10.7030326,11.6765356,9.2247421,11.819334,3.259511,3.3312375,7.6940849,7.708452
27.4410867,27.461928,18.4875316,23.4982436,10.1769473,11.2292087,6.8209491,6.8459781,14.440431,,9.6966289,9.4649169,15.0541776,14.5415601,13.1238745,20.56832,7.6751024,8.7315832,12.3090561,12.8084189
43.8721148,44.1615014,23.7702617,33.3823334,15.9942277,15.860611,9.5695664,9.9985599,24.2448858,,14.4312482,14.3633064,20.435873,26.1084788,23.0050237,31.2850223,14.7892339,13.8137253,14.0108094,19.1235413
57.1551585,57.0440627,29.0375172,49.5970925,23.6751031,23.0775264,12.8894618,12.6121725,31.2881012,,19.4305013,19.3300179,26.7512068,32.4905868,31.8890948,36.7845599,23.3244751,20.7630912,20.2591961,22.7397592
71.8883077,71.2933973,32.4201028,60.344691,33.9083938,33.7918056,16.6199778,16.415583,36.9534618,,25.131002,24.4641037,32.5848341,41.2228849,46.5199536,39.785759,27.4737915,23.3946282,25.4749092,25.4062703
85.8501847,85.1061296,39.019296,77.0457975,40.9243574,40.375502,20.0711127,19.2805285,50.2226399,,29.9127261,29.79548,40.0672987,46.9569969,53.5545674,42.4511698,29.4738497,27.2627316,31.6576009,31.5897606
99.9995535,99.6405595,44.3372194,,46.7227343,46.5413294,28.0195864,25.1802569,64.3849319,,36.0618953,35.4143572,52.1660405,52.456631,61.5864524,45.9667787,37.0733294,34.7436006,34.7401055,34.4551876
,,49.3682035,,56.224135,51.5563874,36.6874439,27.9802624,76.7183429,,43.3456626,43.0113529,56.9824869,56.9381983,67.3860384,48.7165644,42.9554623,37.3287846,42.1904952,38.7887472
,,59.0872069,,60.6074749,56.9568151,42.219697,31.5299315,84.7835374,,48.0112431,52.627096,61.9482285,61.8389387,70.9517714,51.6663863,46.6895171,43.6100935,45.3562797,42.1228109
,,72.3496748,,71.0890181,60.1084104,48.4358964,34.2959309,90.3664358,,54.7112046,61.3602567,66.7645108,66.6705151,73.8186076,53.6658298,50.072565,50.2118436,49.5237571,45.2050902
,,,,,66.4565227,55.0192454,38.7481806,95.232786,,60.2934104,65.3929282,71.8459164,71.5687026,78.3682531,57.6988399,53.1387815,69.3741806,54.7407465,49.4040518
,,,,,70.9707571,63.5016256,46.0613722,101.7324734,,65.3434677,70.8585363,77.0802627,76.4206422,82.5680145,60.2350178,56.288523,75.3073625,59.7396524,52.9193694
,,,,,,71.7174718,48.7458337,111.2827761,,72.159909,76.2931677,85.6146948,81.2863403,85.9180292,64.4146477,60.9361455,,68.704918,54.7209464
,,,,,,75.9849719,55.028707,116.6981623,,77.2423176,81.3403053,,86.0698568,90.7836296,67.3981273,66.735419,,73.304098,58.1207088
,,,,,,79.566738,59.1789167,131.9445983,,81.4588159,86.6740755,,,95.7174454,71.014715,74.336901,,78.0872294,60.5374242
,,,,,,83.4998147,63.3427144,136.0805305,,86.7081015,94.1571202,,,103.0331528,73.4476672,,,82.321226,64.0412385
,,,,,,89.2826856,67.227833,,,94.3577434,101.9899728,,,109.8974715,76.3792847,,,88.6704686,68.5870499
,,,,,,93.0319016,71.7102094,,,101.8900313,,,,117.2660606,79.7114484,,,,73.2032566
,,,,,,99.5991156,75.3926959,,,,,,,,82.5439193,,,,81.4004772
,,,,,,102.6498449,79.3091717,,,,,,,,85.7773811,,,,
,,,,,,107.9157723,83.3765144,,,,,,,,87.6951698,,,,
,,,,,,111.0476652,89.3921212,,,,,,,,90.9606055,,,,
,,,,,,114.4962977,92.7758488,,,,,,,,96.2960051,,,,
,,,,,,117.7653855,102.4074097,,,,,,,,100.3289225,,,,
,,,,,,120.662186,103.8751101,,,,,,,,106.4283962,,,,
,,,,,,123.7159697,105.6571891,,,,,,,,109.8623417,,,,
,,,,,,128.5801767,108.0583795,,,,,,,,117.5941052,,,,
,,,,,,133.546746,110.8717212,,,,,,,,,,,,
,,,,,,139.8296275,114.0406494,,,,,,,,,,,,
,,,,,,143.544367,117.2727741,,,,,,,,,,,,
,,,,,,,120.2725505,,,,,,,,,,,,
,,,,,,,123.7720561,,,,,,,,,,,,
,,,,,,,128.5557658,,,,,,,,,,,,
,,,,,,,133.6541706,,,,,,,,,,,,
,,,,,,,139.637542,,,,,,,,,,,,
,,,,,,,143.2213109,,,,,,,,,,,,
