0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.935719,12.9689443,6.0753253,3.5303633,6.122389,5.7322074,6.5363438,6.2799536,21.696523,19.6257215,5.1013726,4.8814915,27.756326,5.3489869,13.2480888,11.7136192,3.0982784,2.9748891,26.1689403,11.5445311
26.9000932,27.1543728,8.2242796,10.459762,10.0384459,13.6662052,12.2190896,12.6960061,36.1960895,30.7759575,7.3675183,7.36491,31.6723783,27.7636578,23.4812649,24.07951,8.0278683,7.6404114,33.2679465,16.3953955
43.2302418,43.7853711,10.4415872,18.6431514,13.723082,15.9318608,20.5854567,17.9637468,50.2613463,49.2743715,9.8515491,10.281439,37.4221935,37.3969762,31.745732,30.9125917,13.5951745,13.5903351,43.3665602,22.0924862
56.5156296,56.8674203,12.8414539,23.2767153,24.9550545,33.3976038,27.5526273,20.4459939,63.3262568,63.4224792,15.4685208,13.7489592,52.3011187,52.1616692,46.661557,37.3449225,17.8109878,21.7226904,47.0003495,27.7260005
70.8979818,71.0475034,18.4259363,49.5247333,32.2202318,40.6659,33.6525005,27.5764096,75.3275396,79.0386006,19.4159824,14.348603,54.6182831,54.4963331,53.6787828,41.7944551,23.260446,23.6389564,52.9157083,34.3089368
85.4136677,85.3664594,19.893371,55.0238909,33.5371547,46.6296215,36.3509062,33.8116685,86.7596121,86.2207099,31.5678462,19.6485915,56.9848755,56.946087,60.0112532,47.9617977,27.1271494,27.2879976,82.3815245,43.1930295
99.4780666,99.5975546,21.1591704,59.1403426,38.9196877,50.262409,54.9994395,54.9768726,97.9730538,97.7551398,44.4319097,28.3800607,59.5045429,59.409506,72.792893,53.4105088,36.5427897,40.8211931,,46.8927
,,23.2738484,61.5717645,40.9533704,56.1288601,70.3831979,70.2259632,102.9412491,102.9042054,61.0812146,32.1305527,61.8517154,61.8281429,110.3238557,59.7608643,39.7759178,48.3875776,,70.7748775
,,28.0585295,64.422879,50.2686816,59.7956177,79.2977714,79.6916224,116.0732317,111.0362987,65.8461307,40.2967857,64.4709527,66.7450775,117.1566774,66.6747313,42.1758985,51.8053581,,75.2406822
,,30.4256523,76.5052957,55.9372742,71.2115595,89.1323801,102.2551706,133.9387314,115.9362579,81.8133473,44.3289191,66.7205136,71.644876,,72.9738425,44.5086446,56.1526611,,82.4082121
,,44.6079016,,62.168476,,111.2132406,124.2880255,,,94.427967,54.6292476,69.737685,76.3260586,,80.3923472,46.9763802,59.8704274,,88.2403468
,,48.6252157,,,,123.8618847,132.3540918,,,,60.4289827,71.5699619,81.2273818,,85.1246838,50.6249319,63.2197886,,
,,59.2067718,,,,132.0450499,,,,,65.8936647,76.418609,85.6927856,,90.5915288,53.5083809,65.5372284,,
,,64.4564537,,,,,,,,,81.9599246,,,,96.6242729,56.1914339,68.8693669,,
,,76.6384001,,,,,,,,,84.992664,,,,102.7237233,59.9752903,,,
,,81.9737615,,,,,,,,,94.6921137,,,,109.9907962,63.3572863,,,
,,84.0048731,,,,,,,,,101.3088419,,,,117.1402106,65.6575896,,,
,,,,,,,,,,,,,,,,68.8246733,,,
