0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.365668,12.4800605,23.3049003,18.0082177,9.6114579,33.301001,6.2513486,12.1128962,35.0056909,36.0042915,9.6982374,19.8541061,27.7457436,27.8051645,15.7383403,13.5726647,22.977878,22.4135527,26.1625954,32.2026826
26.9473063,27.3271157,49.8205718,31.9061209,14.8437702,40.5004266,12.0845541,19.1623267,64.2033803,64.9023522,19.979745,35.6856852,52.394233,52.2358846,24.0391535,24.5718319,36.4441691,37.0619874,31.5289106,44.0849991
43.4456821,43.5261146,59.6518632,43.8214449,33.2603781,50.4327774,18.7669619,33.4285554,78.4356216,76.1343416,35.5287318,60.5522313,62.1933608,61.8682687,32.8041116,33.3215064,49.5423612,49.845521,55.4441755,52.5179792
56.9941511,56.7254243,76.5506794,49.637378,38.5590252,59.7992817,33.666538,55.159636,101.4666552,102.8498539,65.6103424,65.3833155,71.7587458,71.7344494,46.5204428,46.3700409,63.0413474,60.2277141,78.3751433,66.5831218
71.6095053,71.2570508,83.9508257,54.603614,40.8920035,71.0811524,48.5148159,63.608802,136.1812871,134.5799617,86.5747144,87.3980681,85.6078046,85.8998114,59.6683226,59.5190593,74.3238265,,81.5603083,82.4162533
85.4757087,85.4897757,,58.888165,50.0750405,,54.8979453,,,,94.8568522,94.2307794,,,70.617288,64.2357911,,,,
99.4251184,99.2886765,,64.1201872,59.7069575,,62.7142884,,,,101.5074499,101.6471553,,,110.3827176,70.5514114,,,,
,,,84.2013484,70.9560186,,71.7462563,,,,,,,,,103.0660651,,,,
,,,,,,79.4798053,,,,,,,,,119.1989223,,,,
,,,,,,131.7745874,,,,,,,,,,,,,
