0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.4469002,12.7676065,23.2555234,18.6198295,9.4255386,9.8336733,12.5867268,14.3514536,32.1795283,,10.3226964,10.9968271,27.9656665,27.5640112,23.6065977,47.6226693,17.9556227,11.1093332,31.6998748,22.4927329
26.9769026,27.499361,39.2219244,31.7677305,17.9940032,18.233699,19.573208,20.8865049,41.110305,,19.3720618,34.8462738,52.179279,54.4145324,35.957426,60.5374497,36.303848,17.7259092,82.0498403,29.4078159
42.2105027,43.4829942,49.4865901,43.6356126,33.2098049,33.2328508,49.5354588,55.0163846,41.2120264,,34.8719405,44.045751,71.5620059,73.5612339,59.4382788,73.7689271,48.4357187,36.0715106,,31.6746947
56.7769311,57.1129931,59.0362587,49.5020221,40.3581516,40.3655195,56.3359236,63.432627,63.2586079,,61.3532002,61.2115892,81.260458,85.5427079,73.5359984,85.2678646,54.619588,73.9560703,,52.3259825
71.0750791,71.4616601,67.2855064,67.4316842,49.8935074,49.8962194,70.032861,69.9796507,76.8935016,,66.5178487,81.3429069,85.6124854,,97.5185602,97.8201251,59.9689965,,,57.2060942
85.3906923,85.5452955,76.2025622,83.4146938,59.4904731,,86.7636293,79.26501,79.5428053,,82.4150791,101.6580275,,,102.5336545,102.4995923,74.067134,,,83.6720532
99.4748371,99.411203,83.4502862,,72.9050291,,99.6810431,85.6813044,88.9277868,,95.166248,,,,116.8007977,117.5834164,,,,
,,,,,,111.1635587,99.7969726,95.9258595,,,,,,,,,,,
,,,,,,123.3965471,111.0767385,103.4076121,,,,,,,,,,,
,,,,,,132.596099,123.361381,110.5891865,,,,,,,,,,,
,,,,,,140.2958377,132.958894,135.1069453,,,,,,,,,,,
,,,,,,143.0126829,,,,,,,,,,,,,
