0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.4864003,27.7459515,18.0923608,18.5982694,23.5161892,25.8450613,14.7415827,13.2794744,,37.432346,22.0740207,9.9714086,28.2585504,28.1545367,11.7638412,23.1600356,36.5794701,23.8357837,34.352756,34.4298603
27.3175905,43.9470938,23.5595779,23.8324759,40.7142001,41.3460804,20.3581414,20.2620036,,64.165431,35.9553188,35.969511,52.6056083,53.3534292,23.4948152,75.571259,76.62488,36.6387488,84.3654981,54.0146072
43.6863915,87.2398249,36.0085672,49.9845391,52.5994226,72.3931876,49.1731578,34.7935537,,76.3620971,60.8050069,60.6867471,78.4562623,86.1981023,73.7074408,106.8862776,,50.3032457,,85.9954179
57.4488243,101.0591253,44.8574523,73.1938013,72.3127061,,72.3212186,48.9256064,,103.7437092,65.7219205,65.7004872,,,106.9730441,118.3360563,,76.3018501,,
72.397546,,50.0067555,83.9113796,,,102.9850746,55.5599491,,136.0405598,82.7694149,84.8496718,,,118.1221165,,,,,
86.4796549,,59.6563038,,,,120.4839676,70.8436253,,136.2745336,84.7210721,102.3150189,,,,,,,,
102.1602526,,74.5702679,,,,125.5840162,87.1396432,,,101.4873138,,,,,,,,,
,,84.3209047,,,,140.2635669,104.305592,,,,,,,,,,,,
,,,,,,,125.5033486,,,,,,,,,,,,
,,,,,,,133.4349094,,,,,,,,,,,,
,,,,,,,141.0710694,,,,,,,,,,,,
