0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.2393549,12.3457158,5.710137,6.0089379,5.4420139,5.81883,6.3056255,6.2962071,30.7891322,19.0920446,5.4578729,4.4622492,26.408426,27.7468992,13.3125103,24.137073,37.1676843,37.8148931,33.130987,33.697466
27.0213275,27.3946055,10.3265474,10.3590917,15.0911175,15.0843428,20.2704636,20.3789412,37.221675,36.5906562,9.6906107,9.778142,37.7239839,52.6779211,23.8780072,34.052585,48.6837113,48.963657,82.4102074,82.7103262
42.9366972,43.3604381,12.860005,18.0413534,40.6227241,33.2501651,27.5032404,27.6283106,50.5889255,43.6896793,14.9407519,33.1600358,52.0238299,85.7583448,35.4443798,38.985541,60.9991816,61.0787592,,89.343466
56.835936,56.8427326,18.2270204,23.1589319,50.3715639,40.4328795,35.5359134,35.6435002,65.0363263,48.6064232,19.6057242,60.5911236,58.0396771,,41.2766391,45.2349118,76.4144444,,,
70.8345803,71.4412004,23.175524,27.9569075,59.8040795,73.6632701,55.7346937,55.2420133,75.9850721,55.438613,31.1386565,65.1403421,85.7369025,,45.9437563,57.3838674,,,,
85.3998772,85.3241048,27.9763286,32.373382,70.9531855,,70.2162628,62.5930328,87.1184602,64.1879038,52.4030805,81.7905495,,,53.0090042,64.2168263,,,,
99.5986032,99.4053416,32.0254563,43.8890825,,,75.0657758,70.6912149,97.5498653,75.6203224,66.7188274,101.4208202,,,59.0084001,70.4167238,,,,
,,38.490771,49.4052397,,,83.1152239,78.9403661,103.199353,88.1210059,83.3172111,,,,63.8419418,117.4634305,,,,
,,44.1747283,54.8726013,,,125.6289622,86.2226003,116.5661157,104.9355622,101.4496297,,,,118.0037559,,,,,
,,49.4565485,64.0539858,,,132.2117669,123.7878252,135.1469251,110.4682411,,,,,,,,,,
,,54.8061682,83.8869074,,,,131.7524807,,116.4836037,,,,,,,,,,
,,64.1726872,,,,,,,,,,,,,,,,,
,,76.8880333,,,,,,,,,,,,,,,,,
,,83.8381924,,,,,,,,,,,,,,,,,
