0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.1287089,12.5382065,10.3283408,5.6107617,5.5767207,3.6404356,4.2275572,6.2836325,31.3451291,29.9302199,4.9572509,8.8188574,17.1778075,26.5939158,11.3620659,13.2125554,7.6952084,8.1449705,22.2531743,10.584258
26.8607066,27.252571,18.462433,10.0633378,13.3616187,5.421219,11.4773309,12.2163074,36.4774263,39.3798359,9.6559228,19.8490994,26.8111051,37.3779872,23.2613585,23.8463686,13.8607052,23.1434394,33.7678904,26.8007363
43.2278125,43.5507932,23.5091556,14.8612961,15.2777385,13.1065436,17.561459,17.6377067,49.3595977,49.1476919,19.7392548,34.8671417,32.0941837,51.3255808,32.6907538,36.378535,23.8259979,33.6404956,43.268524,34.2666905
56.8265319,56.7659094,27.82766,23.243583,33.3260957,15.3068781,20.7270954,20.8675282,63.1916291,63.4458385,31.1571069,51.632209,52.0405507,56.9418863,42.0415788,41.6936342,35.9767848,42.8086324,52.74848,42.9834934
70.9918394,71.2162614,32.3274649,27.8949663,40.9934355,33.4044417,27.5263052,27.5343264,75.1061514,74.9642495,36.0895197,60.4146296,56.9432588,64.559599,60.2078771,45.9106724,42.4759865,45.8233134,77.5674671,51.9148483
85.3738349,85.4468075,44.0947327,44.6089701,50.2910815,40.6350701,33.9076551,33.6153494,103.1900895,88.2279453,44.1240171,81.9129412,62.3422673,66.9556212,66.440024,52.142741,47.991952,49.039241,83.5483902,77.9958248
99.4077051,99.480287,49.9444932,49.8596281,70.3898336,50.5693989,48.9593077,36.3163639,116.421789,102.8427404,52.7539402,89.0296697,66.9248577,69.9218073,71.1226466,58.6589939,50.5578588,57.2916246,89.4168095,82.5610085
,,54.7426748,58.8080463,,70.4661014,59.3241064,48.6656441,131.9200609,116.3074694,60.4882471,101.4962975,69.8573801,76.6914496,86.1058759,64.892541,60.1255918,64.6905539,,88.278231
,,64.1082679,76.5574912,,,71.906323,55.6327964,,131.7906334,66.0215895,,72.5079956,81.4081331,91.2383187,71.1585879,74.4411413,74.7730406,,
,,83.7079792,84.0741821,,,92.4056242,62.6976006,,,82.0543259,,76.8727478,85.8580644,97.9878398,86.0224176,,,,
,,,,,,102.271756,71.7973666,,,84.336643,,85.5392411,,103.9066409,92.2736217,,,,
,,,,,,110.7718171,79.9300598,,,101.3857632,,,,109.8879749,98.6369592,,,,
,,,,,,120.2686941,89.2288817,,,,,,,117.8874547,104.4371569,,,,
,,,,,,124.3028837,95.5789547,,,,,,,,111.0033193,,,,
,,,,,,132.0335016,102.9950603,,,,,,,,117.7889702,,,,
,,,,,,139.618001,107.8629114,,,,,,,,,,,,
,,,,,,,110.7948995,,,,,,,,,,,,
,,,,,,,116.8949037,,,,,,,,,,,,
,,,,,,,119.7454595,,,,,,,,,,,,
,,,,,,,123.8782926,,,,,,,,,,,,
,,,,,,,132.1268761,,,,,,,,,,,,
,,,,,,,139.3741645,,,,,,,,,,,,
,,,,,,,143.0946381,,,,,,,,,,,,
