0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11.9249488,12.1132652,10.424784,22.6932367,5.0856816,5.2175078,6.5113316,7.2007417,21.9311687,21.5471503,9.382848,3.19304,26.48439,26.5396048,13.2641563,12.9265886,3.7122799,2.9318731,21.9965729,5.5874245
26.6916796,26.7629112,22.973743,32.0422699,14.9353324,9.4172255,12.2939059,16.6328203,30.6476304,36.130506,21.564908,4.6088868,33.0991104,31.3566375,23.7298267,23.9100822,8.2120763,7.932504,33.9798493,22.0035571
42.4893319,42.5106773,32.05611,49.5063574,40.3326324,33.0981394,19.3933987,19.9326877,46.3294254,43.5121738,23.9479644,6.9090359,36.9821048,37.3729852,37.1127495,33.2578106,13.8450599,13.7825101,43.3779013,34.4345123
56.4212504,56.4428524,50.7209896,71.5903605,61.8474207,40.3979682,27.4092016,27.598219,49.729145,49.4115585,30.8144055,10.0252809,43.5484749,52.0723725,45.4612958,39.8405905,23.1939527,22.9974063,52.4113397,67.9330442
70.5533506,70.625668,59.73722,,,54.3966381,33.5923157,36.3313982,63.8111438,63.594103,44.0802226,21.4910796,53.5643051,57.1059792,64.2438504,45.4066428,27.4435863,27.4301528,58.6267401,87.6307252
85.052092,85.0738127,71.5529939,,,55.9301789,55.7068125,49.8798373,75.4273517,74.6761116,60.4620244,23.7740753,57.3304327,62.0708675,70.5933,52.0235467,36.476124,36.6974161,68.509751,
98.7012179,98.9062452,83.5017407,,,72.878797,63.5062704,54.6457957,102.8582694,96.6411724,65.3119375,30.9741665,62.0464799,64.4869975,85.2412843,58.33913,40.4596062,39.9290233,87.1744673,
,,,,,,79.4383608,62.6126078,111.1238029,103.1405834,81.9765298,35.6241727,66.9639891,66.9539779,103.1401273,63.9716314,42.9758293,41.9461829,,
,,,,,,111.0030791,66.5451885,116.7401223,110.6897614,84.8093825,43.1391233,71.8796793,69.3196045,110.9561273,70.1213366,44.8425435,48.1320422,,
,,,,,,124.0679649,69.778191,128.2391879,135.1549314,101.2592187,51.022,78.912527,76.9538145,117.4386893,80.4700043,48.225243,50.8612842,,
,,,,,,139.6167579,74.8453847,135.9882878,,,60.2546522,85.7946493,,,85.1699523,51.9248374,54.310965,,
,,,,,,,78.6609184,,,,65.3212409,,,,93.1208535,55.2582467,60.2437771,,
,,,,,,,82.9770418,,,,81.9532049,,,,103.1032169,60.3918518,73.9261743,,
,,,,,,,88.8100118,,,,84.4356835,,,,119.5175391,64.3571915,,,
,,,,,,,92.0601695,,,,89.1858161,,,,,66.9408306,,,
,,,,,,,95.4273499,,,,101.4013544,,,,,74.2239906,,,
,,,,,,,102.0422861,,,,,,,,,,,,
,,,,,,,104.9424025,,,,,,,,,,,,
,,,,,,,114.0586517,,,,,,,,,,,,
,,,,,,,123.6571549,,,,,,,,,,,,
,,,,,,,129.4235436,,,,,,,,,,,,
,,,,,,,136.1416191,,,,,,,,,,,,
,,,,,,,140.1225311,,,,,,,,,,,,
